istdi,icia,3iac,pisti,seas
"*_ BTS Industriels et Technologiques _*
","*_BTS Commerce et de Gestion_*
","*_Technologie de l'Informatique (tout Bac)_*
","*_BTS ÉTUDES MÉDICO-SANITAIRES_*
","*_HND INDUSTRIAL FIELDS_*
"
Chaudronnerie et Soudure,Assurance,Réseautique et Sécurité Informatique,Sciences Infirmières,Chemical Engineering
Fabrication Mécanique,Banque et Finance,"Programmation et Applications Mobiles
",Kinésithérapie,Telecommunication
Construction Métallique,Commerce International,"*_Classes Préparatoires Informatiques (3IL) Bac C, D, E_*
","Sage-Femme
",Civil Engineering
Maintenance Industrielle et Productique,Communication des Organisations,"Ingénierie Informatique 3IL
","*_BTS SCIENCES ET TECHNIQUES BIOMÉDICALES_*
",Mechanical Fabrication
Mécatronique,Comptabilité et Gestion des Entreprises,"*_Cycle de Bachelor en Informatique_*
",Techniques de Laboratoires et d'Analyses Médicales,Software Engineering and Computing
Maintenance et Après-Vente Automobile,Gestion de la Qualité,"Concepteur des Systèmes d'Informations Informatisés (CS21/3IL-France)
","Radiologie et Imagerie Médicale
",Topography
Informatique Industrielle et Automatique,Journalisme,"*_Cycle Master Européen en Informatique_*
","*_CLASSES PRÉPARATOIRES AUX GRANDES ECOLES D'INGÉNIEURS_*
",Electrical and Electronics Engineering
Génie Logiciel,Logistique et Transport,"Manager des Systèmes d'Information et Infrastructures (MS21/3IL-France)
","02 ans de préparations aux sciences de l'ingénieur, poursuite des études en 3ème année dans une école d'ingénieur étrangère dans les parcours suivants :
",Network and Security
Réseaux et Sécurité Informatique,Marketing Commerce et Vente,"*_Cycle d'Ingeniérie en Informatique (3IL)_*
","*_LICENCE SCIENCES TECHNIQUES (Le Mans Université-France)_*
","Industrial computing and Automation
"
Gestion des Systèmes d'Information,"Ressources Humaines
","Informatique (3IL-Afrique Centrale, France)
","Maths Appliquées, Sciences Actuarielles et financières","*_HND COMMERCIAL FIELDS_*
"
Télécommunication,"*_BTS Carrières Juridiques_*
",,"Physique pour Ingénieur
",Accounting
Maintenance des Systèmes Informatiques,Droit Domanial,,"*_CYCLE D'INGENIEURS SIGMA (CIE  03 ans IUC, 02 années JUNIA France )_*
",Banking and Finance
Infographie et Web Design,Gestion Fiscale,,"Ingenieurie de l'Electronique et du Numérique: Développement logiciel et jeux vidéo , Robotiques mobiles,  Objets connectés , ntelligence artificielle et réalité augmentée,Electronique embarquée, Bio-Nanotech , Big Data , Cyber sécurité , Ingénieurs d'affaires, Informatique et finances Cyber sécurité, Ingénieurs d'affaires Informatique et finances.",Marketing
E-Commerce et Marketing Numérique,Douane et Transit,,"Ingénierie Génie Electrique, Genie Mécanique et Automatique, Génie Energetique Conception mécanique , Bâtiments et Travaux publics, Bâtiment Aménagement Architecture, SMART CITIES, Energies Systèmes Electriques et Automatisés, Ingénierie Médicale et Santé Technologie et l'innovation, Transition écologique , Informatique et Chimie innovante et Technologie,  Innovation et Management International textile.",Management
Génie Bois:,"Droit des Affaires et de l'Entreprise
",,"Ingénierie Agroalimentaire, Agronomie et Biotechnologie (ISA-JUNIA/France)",Project Management
Menuiserie Ebénisterie,"*_Licences Pro. Commerce et de Gestion_*
",,"Agriculture, Filières et Territoires",Logistics and Transport Management
Industrie du Bois,Assurance,,Environnement et Aménagement,Human Resource Management
Gestion Forestière,Gestion Qualité,,"Agroéconomie, Gestion et Marketing",International Trade
Froid et Climatisation,Douane et Transit,,Biotechnologies,"Custom and Transit
"
Electrotechnique,Communications des Organisations,,"Management et Technologies en Industrie Agroalimentaires
","*_BACHELOR OF TECHNOLOGY_*
"
Energie Renouvelable,Publicité,,"*_SCIENCES AERONAUTIQUES_*
",Civil Engineering
Maintenance des systèmes électroniques,Banque et Finance,,Pilote de ligne,Chemical Engineering
Contrôle Instrumentation et Régulation,Banque - Assurance,,Ingénieur Mécanicien d'avion,Software Engineering
Maintenance des Appareils Biomédicaux,Logistique et Transport,,"Gestion des Aviations
",Information Technology
Génie Chimique des procédés,Comptabilité et Gestion,,*_INGÉNIERIE POLYTECH DE FRANCE_*,Thermal Engineering
Génie Civil - Bâtiment,Comptabilité Contrôle et Audit,,"02 ans de préparations, poursuite des études en 3ème année dans une des écoles d'ingénieur du réseaux Polytech dans les parcours suivants :
",Geomatics and Surveying
Génie Civil - Travaux Publics,Marketing - Commerce - Vente,,"*_INGÉNIERIE EN ARCHITECTURE ET DESIGN INDUSTRIEL (Université de Rome I - Di Camerino / Italie)_*
",Electrical and Electonics
Géomètre Topographe,Gestion des Ressources Humaines,,Architecture,Automation and Control
Hygiène Sécurité et Environnement,Marketing Manager Opérationnel,,"Design Industriel
",Industrial Maintenance and Manufacturing
"Installation Sanitaire
",Sciences et Techniques Administratives,,,Mechatronics
"*_Masters Polytech Yaoundé I_*
","Management des Operations du Commerce International
",,,Welding and Fabrication Technology
Génie Civil (GC),"*_ISUGA (tout Bac)_*
",,,Communication and Computer Networks
Génie Industriel et Maintenance (GIM),BACHELOR : BAC+3 (IUC),,,"International Certifications
"
Génie Energétique et Environnement (GEE),"MASTER : BAC+5 (EMBA)
",,,"*_BACHELOR OF ENGINEERING_*
"
"Industriel
","*_VATEL France délocalise ses formations à l'IUC_*
",,,Computer Engineering
"*_sicences Pro. Industrielles et Technologiques_*
",Industrie Touristique,,,Electromechanical Engineering
Génie Télécommunications et Réseaux,Manager des services hôteliers à l'International,,,Civil and Environmental Engineering
Génie Mécanique et Productique,"CLASSES PRÉPA COMMERCE ET GESTION (2ans à IUC, 3 ans en France)
",,,Chemical Engineering
Maintenance des systèmes Industriels,"*_Masters Pro. Commerce et de Gestion_*
",,,"Architectural Engineering
"
Maintenance et Expertise Automobile,      *MASTER I*,,,"*_BACHELOR IN HEALTH SCIENCES_*
"
Automatique et Informatique Industrielle,Marketing,,,Nursing
Gestion des Parcs Informatiques,Finance,,,Physiotherapy
Génie Civil,Comptabilité et Fiscalité,,,"Medical Laboratory Science
"
Génie Energétique et Industriel,Gestion Administration et Ressources Humaines,,,"*_BACHELOR IN BUSINESS & MANAGEMENT SCIENCES_*
"
Management des Services de l'Automobile,"Management, logistique et des opérations de transports",,,Accounting and Finance
Génie Logiciel,    *MASTER II*,,,Digital Marketing
Génie Bois,Fiscalité Assurances,,,Information Systems Management
Electrotechnique/Electronique,Gestion des Ressources Humaines,,,Logistics and Supply Chain
Hygiène Sécurité Industrielle,Banque et Ingénierie Financière,,,Banking and Finance
Instrumentation et Maintenance Biomédicale,Supply Chain Management,,,Management
"Mécatronique/Constructions Industrielles
",Comptabilité Contrôle et Audit,,,Marketing and International Business
"*_Sicences Technologiques
_*","Distribution et Pilotage des Equipes Commerciales
",,,"Human Resource Management
"
Génie Civil / Géomatique et Topographie,"*_EXECUTIVE PROGRAMS_*
",,,"*_BACHELOR OF AGRICULTURE_*
"
Instrumentation et Maintenance Biomédicale,Executive MBA : Master in Business Administration (02 seminaires de formation à l'étranger),,,Crop Science
Génie Energitique et Industrielle,MBA in Global Entrepreneurship,,,Animal Science
Génie Chimique des Procédés,"Executive Certification
",,,Food Science and Technology
"Qualité, Hygiène, Sécurité et Environnement",,,,"Fishing and Aquaculture
"
Maintenance Industrielle et Productique,,,,"*_MASTER OF ENGINEERING_*
"
Mécatronique,,,,Civil & Environemental Engineering
Génie Electrique et Automatismes,,,,Computer Science & Engineering
Génie Logiciel,,,,Electro-mechanical Engineering
Constructions Industrielles,,,,"Process Engineering
"
"Infographie et Marketing Numérique
",,,,"*_MASTER IN BUSINESS & MANAGEMENT SCIENCES_*
"
"*_Masters Pro. Industriels et Technologiques
_*",,,,Management
Génie Electrique et Informatique Industrielle (GE21),,,,Digital Marketing
Génie des Réseaux et Télécommunications (GRT),,,,Business Analytics
Système d'Information et Génie Logiciel (SIGL),,,,Corporate Finance
Qualité Hygiène et Sécurité Industrielle (QHSI),,,,Accounting and Audit
Système d'Information et Réseaux (SIR),,,,"Global Supply Chain Management
"
"Système d'Information Audit et Conseil (SIAC)
",,,,
